year,geo_name,geo,income
2016,"Census Tract 263.01","14000US06075026301",65625.0
2016,"Census Tract 263.02","14000US06075026302",76386.0
2016,"Census Tract 263.03","14000US06075026303",83047.0
2016,"Census Tract 264.01","14000US06075026401",50694.0
2016,"Census Tract 264.02","14000US06075026402",82969.0
2016,"Census Tract 264.03","14000US06075026403",66875.0
2016,"Census Tract 264.04","14000US06075026404",48000.0
2016,"Census Tract 301.01","14000US06075030101",94857.0
2016,"Census Tract 301.02","14000US06075030102",111651.0
2016,"Census Tract 302.01","14000US06075030201",91387.0
2016,"Census Tract 302.02","14000US06075030202",105457.0
2016,"Census Tract 303.01","14000US06075030301",130234.0
2016,"Census Tract 303.02","14000US06075030302",133984.0
2016,"Census Tract 304","14000US06075030400",154769.0
2016,"Census Tract 305","14000US06075030500",109352.0
2016,"Census Tract 306","14000US06075030600",158421.0
2016,"Census Tract 307","14000US06075030700",126875.0
2016,"Census Tract 308","14000US06075030800",134481.0
2016,"Census Tract 309","14000US06075030900",157820.0
2016,"Census Tract 310","14000US06075031000",128517.0
2016,"Census Tract 311","14000US06075031100",110417.0
2016,"Census Tract 312.01","14000US06075031201",80462.0
2016,"Census Tract 312.02","14000US06075031202",73839.0
2016,"Census Tract 313.01","14000US06075031301",93750.0
2016,"Census Tract 313.02","14000US06075031302",67438.0
2016,"Census Tract 314","14000US06075031400",59487.0
2016,"Census Tract 326.01","14000US06075032601",95854.0
2016,"Census Tract 326.02","14000US06075032602",80357.0
2016,"Census Tract 327","14000US06075032700",103648.0
2016,"Census Tract 328.01","14000US06075032801",79764.0
2016,"Census Tract 328.02","14000US06075032802",84946.0
2016,"Census Tract 329.01","14000US06075032901",83169.0
2016,"Census Tract 329.02","14000US06075032902",96208.0
2016,"Census Tract 330","14000US06075033000",83896.0
2016,"Census Tract 331","14000US06075033100",108018.0
2016,"Census Tract 332.01","14000US06075033201",22895.0
2016,"Census Tract 332.03","14000US06075033203",50946.0
2016,"Census Tract 332.04","14000US06075033204",44922.0
2016,"Census Tract 351","14000US06075035100",107482.0
2016,"Census Tract 352.01","14000US06075035201",84817.0
2016,"Census Tract 352.02","14000US06075035202",78542.0
2016,"Census Tract 353","14000US06075035300",80352.0
2016,"Census Tract 354","14000US06075035400",87598.0
2016,"Census Tract 401","14000US06075040100",93875.0
2016,"Census Tract 402","14000US06075040200",83867.0
2016,"Census Tract 426.01","14000US06075042601",70100.0
2016,"Census Tract 426.02","14000US06075042602",104943.0
2016,"Census Tract 427","14000US06075042700",56765.0
2016,"Census Tract 428","14000US06075042800",181125.0
2016,"Census Tract 451","14000US06075045100",91206.0
2016,"Census Tract 452","14000US06075045200",87664.0
2016,"Census Tract 476","14000US06075047600",84625.0
2016,"Census Tract 477.01","14000US06075047701",72981.0
2016,"Census Tract 477.02","14000US06075047702",85769.0
2016,"Census Tract 478.01","14000US06075047801",92881.0
